Timestamp,Sensor_ID,productid,productname,temperature,humidity,Status,category
2025-01-28 14:44:31,SENSOR-596,PR-001,Hair Serum 1,21.1,79.42,Alerte Température & Humidité,Haircare
2025-02-11 16:18:31,SENSOR-743,PR-002,Body Wash 2,19.79,57.33,Normal,Bodycare
2025-01-25 04:44:31,SENSOR-518,PR-003,Foot Cream 3,21.78,57.92,Normal,Bodycare
2025-01-19 07:22:31,SENSOR-823,PR-004,Conditioner 4,23.5,74.9,Normal,Haircare
2025-01-26 09:03:31,SENSOR-583,PR-005,Eau de Toilette 5,20.1,48.86,Alerte Humidité,Fragrance
2025-01-25 17:50:31,SENSOR-442,PR-006,Face Wash 6,22.09,65.23,Alerte Humidité,Skincare
2025-01-19 06:35:31,SENSOR-855,PR-007,Blush 7,22.9,48.62,Normal,Makeup
2025-02-04 05:05:31,SENSOR-975,PR-008,Moisturizer 8,19.02,51.93,Normal,Skincare
2025-01-21 21:35:31,SENSOR-141,PR-009,Perfume Oil 9,19.92,34.77,Alerte Humidité,Fragrance
2025-01-14 23:21:31,SENSOR-286,PR-010,Mascara 10,21.2,59.7,Alerte Humidité,Makeup
2025-02-07 20:55:31,SENSOR-894,PR-011,Lipstick 11,18.13,33.02,Alerte Humidité,Makeup
2025-01-21 14:33:31,SENSOR-624,PR-012,Moisturizer 12,19.31,40.41,Alerte Humidité,Skincare
2025-02-06 23:27:31,SENSOR-863,PR-013,Foundation 13,23.32,52.78,Normal,Makeup
2025-01-11 21:53:31,SENSOR-429,PR-014,Eau de Toilette 14,20.83,31.91,Alerte Humidité,Fragrance
2025-01-23 13:38:31,SENSOR-420,PR-015,Body Lotion 15,25.46,66.59,Alerte Température & Humidité,Bodycare
2025-02-08 10:18:31,SENSOR-883,PR-016,Blush 16,19.25,33.82,Alerte Humidité,Makeup
2025-01-17 05:26:31,SENSOR-501,PR-017,Shampoo 17,21.63,55.93,Alerte Température,Haircare
2025-02-02 07:49:31,SENSOR-923,PR-018,Hair Oil 18,21.4,62.49,Alerte Température,Haircare
2025-01-31 21:58:31,SENSOR-620,PR-019,Hand Cream 19,20.97,48.86,Normal,Bodycare
2025-01-16 10:19:31,SENSOR-596,PR-020,Face Wash 20,24.27,60.3,Normal,Skincare
2025-01-16 23:07:31,SENSOR-189,PR-021,Blush 21,20.31,53.62,Normal,Makeup
2025-01-27 13:58:31,SENSOR-747,PR-022,Lipstick 22,16.28,46.0,Normal,Makeup
2025-01-17 10:56:31,SENSOR-371,PR-023,Eyeliner 23,23.9,54.25,Normal,Makeup
2025-01-17 14:06:31,SENSOR-346,PR-024,Body Scrub 24,20.96,41.91,Alerte Humidité,Bodycare
